,0
0,0.009456337795492811
1,0.010878581986358698
2,-0.002134294383477865
3,0.013400864729519478
4,0.011560651083352453
5,0.012027158121725955
6,0.0140626630842639
7,0.015651625864336112
8,0.017133890340914407
9,0.009030357045550217
10,0.016020210188457444
11,0.014614050323564689
12,0.016131732794846716
13,0.01649483247983054
14,0.01833506459027095
15,0.01635710972379535
16,0.01597725443075238
17,0.016039856479836915
18,0.019083664130499948
19,0.018605620452642507
20,0.017733663380278375
21,0.02030989063789224
22,0.01994384193782117
23,0.021021013730337185
24,0.021138626322874346
25,0.02180221471464098
26,0.02178903312087609
27,0.01967934248967703
28,0.020720928210693386
29,0.0178358716972206
30,0.022963996916644316
31,0.021717487630295663
32,0.023814788819601508
33,0.024744410316136504
34,0.022696324161200824
35,0.025316208198785425
36,0.025234932326372663
37,0.024315719121654825
38,0.026599555729370967
39,0.025043164010416022
40,0.028051290751995493
41,0.02899816214237039
42,0.029009833157248463
43,0.027665748709625543
44,0.027816674207599815
45,0.02771401465964992
46,0.03059922839426791
47,0.03148095631960735
48,0.030315398308964583
49,0.03643914291219434
50,0.034310074704109246
51,0.036578554438037876
52,0.03878328641076383
53,0.037581266148402244
54,0.041543065643593634
55,0.039324703700785654
56,0.042756565802776425
57,0.044192312296973846
58,0.03865670939555618
59,0.029309890712085573
60,0.047352288712510286
