feature,importance
Column_102,186745.16899151157
Column_107,130181.15122701228
Column_105,20240.3657944859
Column_43,6093.740396927111
Column_106,5513.991435408592
Column_101,2938.1892221169546
Column_141,2909.61111292243
Column_100,2860.232139110565
Column_38,2464.4931523664854
Column_34,2423.0725488140015
Column_13,2374.165651503019
Column_11,2339.7349276542664
Column_27,1893.9468880733475
Column_14,1826.2309732958674
Column_135,1794.6696619211361
Column_35,1676.4147450514138
Column_24,1649.7309764428064
Column_33,1602.5210230667144
Column_52,1358.1408563107252
Column_128,1346.6224230080843
Column_137,1329.7640803563154
Column_139,1283.2817614115775
Column_0,1239.9372456888668
Column_28,1235.765641815262
Column_63,1158.5697357654572
Column_64,1152.0222015732688
Column_37,1089.320039936225
Column_144,1047.079275464639
Column_3,1011.3908908227604
Column_7,1008.7461483017541
Column_85,947.6029522046447
Column_16,886.0627290457487
Column_142,848.7427407121286
Column_112,847.9735030755401
Column_77,822.2096893340349
Column_36,753.1184814778244
Column_111,741.1433912492357
Column_26,740.4590295031667
Column_49,714.8208810538054
Column_145,714.3804992306978
Column_25,703.030976139009
Column_84,698.6911734715104
Column_96,692.4269313960872
Column_50,685.0828430056572
Column_17,672.7451031506062
Column_15,670.7178113237023
Column_40,664.4566276222467
Column_74,619.720158457756
Column_133,607.1468166666455
Column_88,600.3964256495237
Column_23,578.0362732019275
Column_5,556.8972459343495
Column_83,549.5099240001291
Column_89,543.236062027514
Column_10,540.4321523951367
Column_32,540.3225852053147
Column_146,535.5407355381176
Column_87,535.0014905836433
Column_95,527.6348534822464
Column_138,523.9645117530599
Column_93,507.896390914917
Column_94,507.52984117902815
Column_76,501.26590332668275
Column_1,486.9167200420052
Column_51,480.3767880126834
Column_122,477.21193742752075
Column_75,467.64474903047085
Column_44,464.3089540190995
Column_66,460.4677209556103
Column_48,459.8243087762967
Column_39,451.2005300093442
Column_42,449.3008146286011
Column_21,446.16667352616787
Column_86,445.8520002188161
Column_130,441.00486866384745
Column_134,439.563176631229
Column_29,435.5094582771417
Column_92,432.15704309381545
Column_91,428.8746442574775
Column_81,421.88297429680824
Column_90,407.6930768461898
Column_149,405.57451552152634
Column_41,405.5525606344454
Column_30,401.13377963751554
Column_154,394.02232809737325
Column_129,389.69517691712826
Column_9,384.2101014680229
Column_82,380.7161215543747
Column_140,379.61670013918774
Column_53,378.9694022536278
Column_47,370.15363011159934
Column_79,359.55475866794586
Column_150,353.8987956866622
Column_109,352.4897240996361
Column_31,347.6680966733984
Column_156,346.6923389520525
Column_119,334.72382582561113
Column_151,329.2598838007543
Column_132,324.1462086811662
Column_110,320.2214041650295
Column_60,318.23372145264875
Column_97,313.6225419295952
Column_155,308.43901289696805
Column_58,303.925130456686
Column_113,299.1698494553566
Column_62,296.82144566997886
Column_114,290.2820525765419
Column_65,287.1138810366392
Column_59,277.00559862935916
Column_157,260.7971863881685
Column_54,258.6670016963035
Column_131,255.91349140554667
Column_121,250.78980813454837
Column_136,248.5342687247321
Column_118,244.81114502251148
Column_4,234.43758392333984
Column_57,232.97633782029152
Column_46,224.34239292144775
Column_73,222.3615531399846
Column_116,213.74803909659386
Column_127,213.0995211005211
Column_45,211.26572561264038
Column_147,210.0148319611326
Column_19,200.36209791898727
Column_78,197.80681747198105
Column_143,192.29873205780314
Column_125,190.4317353889346
Column_55,185.40480089187622
Column_126,179.10651776677696
Column_67,178.93484309315681
Column_124,175.59696990904922
Column_117,154.46965876966715
Column_6,149.6415615081787
Column_123,148.98772145807743
Column_80,146.03732120990753
Column_152,137.5424936041236
Column_115,134.58728689933196
Column_120,126.34899875894189
Column_22,123.70160366501659
Column_18,114.46658226847649
Column_61,112.51161921024323
Column_104,110.42230445891619
Column_99,102.33441973850131
Column_2,102.15279960632324
Column_148,89.28006995096803
Column_103,67.08524072170258
Column_56,66.29814933985472
Column_8,64.98380279541016
Column_108,55.035024762153625
Column_98,41.698411256074905
Column_20,23.75013916194439
Column_153,20.401943668723106
Column_69,0.0
Column_12,0.0
Column_68,0.0
Column_71,0.0
Column_72,0.0
Column_70,0.0
